
('094142', '48401', 'D3', 'Farmasi - 48401'),
('094142', '48401', 'D3', 'Farmasi - 48401'),
('074131', '48401', 'D3', 'Farmasi - 48401'),
('074131', '48401', 'D3', 'Farmasi - 48401'),
('114079', '48401', 'D3', 'Farmasi - 48401'),
('114079', '48401', 'D3', 'Farmasi - 48401'),
('024118', '48401', 'D3', 'Farmasi - 48401'),
('024118', '48401', 'D3', 'Farmasi - 48401'),
('014227', '48401', 'D3', 'Farmasi - 48401'),
('014227', '48401', 'D3', 'Farmasi - 48401'),
('044238', '48401', 'D3', 'Farmasi - 48401'),
('044238', '48401', 'D3', 'Farmasi - 48401'),
('134038', '48401', 'D3', 'Farmasi - 48401'),
('134038', '48401', 'D3', 'Farmasi - 48401'),
('054069', '91461', 'D3', 'Produksi Film dan Televisi - 91461'),
('054069', '91461', 'D3', 'Produksi Film dan Televisi - 91461'),
('134028', '11401', 'D3', 'Fisioterapi - 11401'),
('134028', '11401', 'D3', 'Fisioterapi - 11401'),
('134051', '11401', 'D3', 'Fisioterapi - 11401'),
('134051', '11401', 'D3', 'Fisioterapi - 11401'),
('044114', '11401', 'D3', 'Fisioterapi - 11401'),
('044114', '11401', 'D3', 'Fisioterapi - 11401'),
('014217', '11401', 'D3', 'Fisioterapi - 11401'),
('014217', '11401', 'D3', 'Fisioterapi - 11401'),
('094144', '11401', 'D3', 'Fisioterapi - 11401'),
('094144', '11401', 'D3', 'Fisioterapi - 11401'),
('034236', '11401', 'D3', 'Fisioterapi - 11401'),
('034236', '11401', 'D3', 'Fisioterapi - 11401'),
('034217', '11401', 'D3', 'Fisioterapi - 11401'),
('034217', '11401', 'D3', 'Fisioterapi - 11401'),
('064156', '11401', 'D3', 'Fisioterapi - 11401'),
('064156', '11401', 'D3', 'Fisioterapi - 11401'),
('054044', '11401', 'D3', 'Fisioterapi - 11401'),
('054044', '11401', 'D3', 'Fisioterapi - 11401'),
('034228', '13411', 'D3', 'Gizi - 13411'),
('034228', '13411', 'D3', 'Gizi - 13411'),
('074128', '13411', 'D3', 'Gizi - 13411'),
('074128', '13411', 'D3', 'Gizi - 13411'),
('114102', '13411', 'D3', 'Gizi - 13411'),
('114102', '13411', 'D3', 'Gizi - 13411'),
('344049', '13411', 'D3', 'Gizi - 13411'),
('344049', '13411', 'D3', 'Gizi - 13411'),
('094036', '13441', 'D3', 'Hiperkes Dan Keselamatan Kerja - 13441'),
('094036', '13441', 'D3', 'Hiperkes Dan Keselamatan Kerja - 13441'),
('094005', '13411', 'D3', 'Gizi - 13411'),
('094005', '13411', 'D3', 'Gizi - 13411'),
('124010', '57401', 'D3', 'Manajemen Informatika - 57401'),
('124010', '56401', 'D3', 'Teknik Komputer - 56401'),
